zn,fe,cu,mn,b,s,district_name,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index
94.01,99.35,98.61,97.62,37.81,48.04,Kannur,1,1,1,1,0,0,0.6666666666666666
74.08,86.1,83.88,84.76,10.21,21.08,Kasaragod,1,1,1,1,0,0,0.6666666666666666
95.0,99.38,98.78,96.77,68.7,75.94,Kollam,1,1,1,1,1,1,1.0
95.18,96.04,99.41,96.59,54.12,73.96,Kottayam,1,1,1,1,1,1,1.0
86.9,98.37,91.15,94.68,42.2,42.04,Kozhikode,1,1,1,1,0,0,0.6666666666666666
97.98,99.87,99.94,99.51,79.74,73.59,Malappuram,1,1,1,1,1,1,1.0
95.61,99.36,99.94,99.06,28.81,63.32,Palakkad,1,1,1,1,0,1,0.8333333333333334
96.94,96.58,64.17,96.38,43.51,14.06,Pathanamthitta,1,1,1,1,0,0,0.6666666666666666
91.21,97.07,94.3,94.48,50.94,70.38,Thiruvananthapuram,1,1,1,1,1,1,1.0
93.46,98.62,97.98,97.2,74.74,84.18,Thrissur,1,1,1,1,1,1,1.0
89.37,98.21,99.39,98.04,22.94,8.41,Wayanad,1,1,1,1,0,0,0.6666666666666666
76.29,76.66,94.18,66.97,36.84,19.14,Kargil,1,1,1,1,0,0,0.6666666666666666
54.56,74.44,93.76,68.44,61.95,88.94,Leh,1,1,1,1,1,1,1.0
40.81,62.47,81.13,79.29,58.42,52.13,Agar Malwa,0,1,1,1,1,1,0.8333333333333334
43.17,48.36,81.26,66.3,65.82,55.67,Alirajpur,0,0,1,1,1,1,0.6666666666666666
52.86,96.04,89.58,98.95,43.88,94.64,Anuppur,1,1,1,1,0,1,0.8333333333333334
52.47,71.15,81.4,98.64,43.62,98.04,Ashoknagar,1,1,1,1,0,1,0.8333333333333334
83.63,99.21,98.43,99.62,89.32,96.97,Balaghat,1,1,1,1,1,1,1.0
84.7,54.12,98.26,68.89,87.44,74.4,Barwani,1,1,1,1,1,1,1.0
19.41,86.57,95.22,99.53,60.08,44.52,Betul,0,1,1,1,1,0,0.6666666666666666
8.27,91.87,97.87,98.25,58.36,55.15,Bhind,0,1,1,1,1,1,0.8333333333333334
77.06,78.65,98.12,97.18,94.53,89.02,Bhopal,1,1,1,1,1,1,1.0
45.15,36.84,87.5,72.4,61.57,51.24,Burhanpur,0,0,1,1,1,1,0.6666666666666666
54.96,32.61,91.89,50.74,64.88,74.74,Chhatarpur,1,0,1,1,1,1,0.8333333333333334
68.93,70.38,97.36,89.89,85.94,83.25,Chhindwara,1,1,1,1,1,1,1.0
78.8,77.32,94.15,88.45,76.7,83.85,Damoh,1,1,1,1,1,1,1.0
59.76,58.89,93.09,84.48,77.83,92.99,Datia,1,1,1,1,1,1,1.0
49.56,84.77,99.53,97.61,65.91,79.7,Dewas,0,1,1,1,1,1,0.8333333333333334
59.3,64.69,87.9,63.6,71.23,55.21,Dhar,1,1,1,1,1,1,1.0
41.35,98.31,99.97,98.61,96.14,89.4,Dindori,0,1,1,1,1,1,0.8333333333333334
68.86,94.72,99.94,98.78,82.26,90.72,East Nimar,1,1,1,1,1,1,1.0
34.16,85.41,98.74,77.06,77.97,91.13,Guna,0,1,1,1,1,1,0.8333333333333334
48.4,69.77,93.71,93.38,70.84,86.39,Gwalior,0,1,1,1,1,1,0.8333333333333334
95.81,98.4,99.54,99.75,96.11,95.68,Harda,1,1,1,1,1,1,1.0
54.42,85.04,95.67,97.62,72.92,62.58,Hoshangabad,1,1,1,1,1,1,1.0
69.1,78.75,96.84,95.21,88.41,84.17,Indore,1,1,1,1,1,1,1.0
76.48,77.05,96.57,90.17,98.13,84.13,Jabalpur,1,1,1,1,1,1,1.0
75.81,95.55,99.65,99.51,80.52,83.97,Jhabua,1,1,1,1,1,1,1.0
50.6,95.45,95.58,95.82,70.62,92.06,Katni,1,1,1,1,1,1,1.0
58.98,25.01,85.83,74.25,82.42,78.17,Khargone,1,0,1,1,1,1,0.8333333333333334
33.31,97.69,90.32,93.47,56.35,91.13,Mandla,0,1,1,1,1,1,0.8333333333333334
74.69,70.26,95.36,74.01,87.15,87.82,Mandsaur,1,1,1,1,1,1,1.0
60.12,92.51,95.31,98.7,83.94,57.19,Morena,1,1,1,1,1,1,1.0
62.81,63.2,96.58,89.0,79.96,73.47,Narsinghpur,1,1,1,1,1,1,1.0
19.36,76.26,99.98,99.91,24.51,0.49,Neemuch,0,1,1,1,0,0,0.5
82.0,98.52,98.96,99.51,66.92,94.79,Panna,1,1,1,1,1,1,1.0
65.88,67.97,93.97,79.09,80.93,56.77,Raisen,1,1,1,1,1,1,1.0
21.6,90.57,78.41,94.79,7.93,73.68,Rajgarh,0,1,1,1,0,1,0.6666666666666666
97.67,97.58,99.17,98.76,99.0,98.93,Ratlam,1,1,1,1,1,1,1.0
55.5,55.55,91.9,85.43,94.12,90.64,Rewa,1,1,1,1,1,1,1.0
74.78,90.65,99.36,94.99,83.77,79.82,Sagar,1,1,1,1,1,1,1.0
29.58,92.84,88.66,99.19,39.77,61.47,Satna,0,1,1,1,0,1,0.6666666666666666
82.25,69.36,98.94,92.3,89.1,65.03,Sehore,1,1,1,1,1,1,1.0
41.47,82.27,96.08,90.18,50.34,84.97,Seoni,0,1,1,1,1,1,0.8333333333333334
60.46,98.42,96.39,99.05,85.06,96.13,Shahdol,1,1,1,1,1,1,1.0
47.1,63.44,76.94,93.9,57.66,70.49,Shajapur,0,1,1,1,1,1,0.8333333333333334
51.71,89.87,91.61,99.55,68.76,74.63,Sheopur,1,1,1,1,1,1,1.0
68.31,87.91,87.93,70.96,62.79,66.39,Shivpuri,1,1,1,1,1,1,1.0
42.04,83.07,70.16,94.17,56.53,41.68,Sidhi,0,1,1,1,1,0,0.6666666666666666
86.31,60.23,95.59,71.22,59.83,32.36,Singrauli,1,1,1,1,1,0,0.8333333333333334
70.33,99.2,96.69,99.6,73.24,99.77,Tikamgarh,1,1,1,1,1,1,1.0
36.56,53.44,91.16,95.28,62.21,61.2,Ujjain,0,1,1,1,1,1,0.8333333333333334
49.74,71.37,98.26,95.05,97.89,87.28,Umaria,0,1,1,1,1,1,0.8333333333333334
67.67,87.68,97.2,89.91,88.69,68.09,Vidisha,1,1,1,1,1,1,1.0
46.99,22.65,97.92,80.07,52.12,58.56,Ahmednagar,0,0,1,1,1,1,0.6666666666666666
29.45,27.58,99.89,99.82,35.21,3.93,Akola,0,0,1,1,0,0,0.3333333333333333
59.04,18.23,98.57,94.9,15.93,16.47,Amravati,1,0,1,1,0,0,0.5
28.16,17.04,98.49,86.72,41.61,93.8,Aurangabad,0,0,1,1,0,1,0.5
55.96,22.15,98.55,96.51,73.17,57.28,Beed,1,0,1,1,1,1,0.8333333333333334
23.79,39.56,99.39,92.65,58.3,43.52,Bhandara,0,0,1,1,1,0,0.5
46.29,23.54,99.38,98.08,75.63,58.6,Buldhana,0,0,1,1,1,1,0.6666666666666666
27.24,28.1,96.28,92.24,80.66,28.07,Chandrapur,0,0,1,1,1,0,0.5
80.35,55.15,99.98,99.58,76.1,64.32,Dhule,1,1,1,1,1,1,1.0
34.09,45.02,96.75,92.77,61.39,40.65,Gadchiroli,0,0,1,1,1,0,0.5
22.3,28.0,98.6,94.27,87.53,23.01,Gondia,0,0,1,1,1,0,0.5
59.06,68.61,99.62,97.38,54.25,16.3,Hingoli,1,1,1,1,1,0,0.8333333333333334
53.25,53.48,94.56,91.08,74.57,39.12,Jalgaon,1,1,1,1,1,0,0.8333333333333334
50.44,9.05,98.12,94.41,37.09,10.38,Jalna,1,0,1,1,0,0,0.5
70.47,60.66,98.55,90.92,56.45,61.83,Kolhapur,1,1,1,1,1,1,1.0
41.42,32.68,99.8,98.37,35.87,9.62,Latur,0,0,1,1,0,0,0.3333333333333333
16.32,6.76,98.86,90.73,69.6,19.3,Nagpur,0,0,1,1,1,0,0.5
63.63,43.8,96.26,87.38,35.31,72.09,Nanded,1,0,1,1,0,1,0.6666666666666666
67.71,77.28,99.95,98.67,43.33,42.09,Nandurbar,1,1,1,1,0,0,0.6666666666666666
68.52,34.77,99.35,90.18,37.96,69.8,Nashik,1,0,1,1,0,1,0.6666666666666666
26.05,28.75,98.43,95.89,49.82,12.17,Osmanabad,0,0,1,1,0,0,0.3333333333333333
60.86,85.76,99.98,99.88,29.93,45.1,Palghar,1,1,1,1,0,0,0.6666666666666666
51.9,50.26,82.01,96.97,45.24,17.72,Parbhani,1,1,1,1,0,0,0.6666666666666666
46.57,19.8,96.17,64.96,49.78,35.41,Pune,0,0,1,1,0,0,0.3333333333333333
81.35,71.76,99.91,99.03,30.76,57.27,Raigad,1,1,1,1,0,1,0.8333333333333334
80.2,97.37,98.72,99.76,73.08,84.61,Ratnagiri,1,1,1,1,1,1,1.0
54.88,54.98,95.81,87.42,76.54,70.21,Sangli,1,1,1,1,1,1,1.0
38.63,40.48,92.32,59.13,67.24,55.89,Satara,0,0,1,1,1,1,0.6666666666666666
66.35,97.89,97.77,99.0,34.02,43.65,Sindhudurg,1,1,1,1,0,0,0.6666666666666666
35.88,11.51,93.06,53.14,41.05,35.56,Solapur,0,0,1,1,0,0,0.3333333333333333
88.76,97.09,99.75,98.86,19.88,85.23,Thane,1,1,1,1,0,1,0.8333333333333334
16.63,5.98,96.9,82.21,42.74,30.55,Wardha,0,0,1,1,0,0,0.3333333333333333
23.71,17.1,99.86,98.61,86.48,17.59,Washim,0,0,1,1,1,0,0.5
38.44,46.54,99.07,94.6,56.17,53.81,Yavatmal,0,0,1,1,1,1,0.6666666666666666
68.72,92.82,82.56,93.85,72.31,41.54,Bishnupur,1,1,1,1,1,0,0.8333333333333334
25.0,100.0,75.0,100.0,100.0,75.0,Chandel,0,1,1,1,1,1,0.8333333333333334
0.0,100.0,33.33,100.0,100.0,33.33,Churachandpur,0,1,0,1,1,0,0.5
57.31,96.44,66.8,96.44,25.69,47.83,Imphal East,1,1,1,1,0,0,0.6666666666666666
51.55,98.97,88.66,98.97,53.61,24.74,Imphal West,1,1,1,1,1,0,0.8333333333333334
,,,,,,Senapati,0,0,0,0,0,0,0.0
,,,,,,Tamenglong,0,0,0,0,0,0,0.0
82.72,98.95,80.63,99.48,58.64,65.97,Thoubal,1,1,1,1,1,1,1.0
38.33,100.0,71.67,100.0,75.0,36.67,Ukhrul,0,1,1,1,1,0,0.6666666666666666
,,,,,100.0,East Garo Hills,0,0,0,0,0,1,0.16666666666666666
,,,,,100.0,East Jaintia Hills,0,0,0,0,0,1,0.16666666666666666
71.91,81.65,90.68,57.9,87.5,23.53,East Khasi Hills,1,1,1,1,1,0,0.8333333333333334
,,,,,100.0,North Garo Hills,0,0,0,0,0,1,0.16666666666666666
64.0,93.94,89.16,80.59,50.0,0.0,Ri Bhoi,1,1,1,1,1,0,0.8333333333333334
0.0,0.0,0.0,0.0,0.0,0.0,South Garo Hills,0,0,0,0,0,0,0.0
,,,,,,South West Garo Hills,0,0,0,0,0,0,0.0
61.29,98.16,87.88,61.9,100.0,100.0,South West Khasi Hills,1,1,1,1,1,1,1.0
,,,,,100.0,West Garo Hills,0,0,0,0,0,1,0.16666666666666666
84.48,77.59,87.93,96.55,77.59,45.16,West Jaintia Hills,1,1,1,1,1,0,0.8333333333333334
51.34,96.68,78.63,59.0,100.0,0.0,West Khasi Hills,1,1,1,1,1,0,0.8333333333333334
,,,,,100.0,Aizawl,0,0,0,0,0,1,0.16666666666666666
76.92,100.0,100.0,100.0,100.0,37.5,Champhai,1,1,1,1,1,0,0.8333333333333334
,,,,,,Kolasib,0,0,0,0,0,0,0.0
,,,,,,Lawngtlai,0,0,0,0,0,0,0.0
100.0,100.0,,,100.0,,Lunglei,1,1,0,0,1,0,0.5
,,,,,,Mamit,0,0,0,0,0,0,0.0
,,,,,,Saiha,0,0,0,0,0,0,0.0
,,,,,100.0,Serchhip,0,0,0,0,0,1,0.16666666666666666
85.95,100.0,99.65,91.29,97.12,98.28,Dimapur,1,1,1,1,1,1,1.0
27.49,100.0,80.58,94.5,,99.83,Kiphire,0,1,1,1,0,1,0.6666666666666666
49.16,99.44,76.72,86.18,,94.26,Kohima,0,1,1,1,0,1,0.6666666666666666
98.63,99.66,99.83,99.32,40.0,99.32,Longleng,1,1,1,1,0,1,0.8333333333333334
63.83,100.0,95.69,95.67,100.0,100.0,Mokokchung,1,1,1,1,1,1,1.0
68.38,99.93,99.86,93.48,0.0,100.0,Mon,1,1,1,1,0,1,0.8333333333333334
87.9,100.0,98.19,95.4,100.0,100.0,Peren,1,1,1,1,1,1,1.0
60.28,99.39,99.09,96.01,100.0,99.9,Phek,1,1,1,1,1,1,1.0
42.52,99.04,65.91,87.52,,89.83,Tuensang,0,1,1,1,0,1,0.6666666666666666
64.77,100.0,99.87,89.77,98.37,93.06,Wokha,1,1,1,1,1,1,1.0
62.64,100.0,100.0,97.34,100.0,100.0,Zunheboto,1,1,1,1,1,1,1.0
74.64,100.0,100.0,100.0,32.83,75.8,Anugul,1,1,1,1,0,1,0.8333333333333334
,,,,,85.71,Balangir,0,0,0,0,0,1,0.16666666666666666
57.04,,,,56.01,23.39,Baleshwar,1,0,0,0,1,0,0.3333333333333333
61.71,97.82,98.77,95.31,35.17,37.38,Bargarh,1,1,1,1,0,0,0.6666666666666666
100.0,80.0,100.0,100.0,80.0,92.86,Bhadrak,1,1,1,1,1,1,1.0
100.0,,,,,100.0,Boudh,1,0,0,0,0,1,0.3333333333333333
69.46,25.0,50.0,0.0,50.85,0.84,Cuttack,1,0,1,0,1,0,0.5
45.63,100.0,100.0,100.0,4.68,75.0,Deogarh,0,1,1,1,0,1,0.6666666666666666
92.86,,,,19.35,100.0,Dhenkanal,1,0,0,0,0,1,0.3333333333333333
100.0,100.0,100.0,100.0,100.0,100.0,Gajapati,1,1,1,1,1,1,1.0
37.5,0.0,,,41.87,79.28,Ganjam,0,0,0,0,0,1,0.16666666666666666
66.2,100.0,100.0,75.0,22.02,54.21,Jagatsinghapur,1,1,1,1,0,1,0.8333333333333334
80.97,100.0,100.0,100.0,48.45,42.22,Jajapur,1,1,1,1,0,0,0.6666666666666666
30.92,0.0,,,71.35,29.88,Jharsuguda,0,0,0,0,1,0,0.16666666666666666
55.98,54.05,90.63,84.38,1.1,44.46,Kalahandi,1,1,1,1,0,0,0.6666666666666666
0.08,0.0,0.08,0.08,0.08,0.9,Kandhamal,0,0,0,0,0,0,0.0
84.4,0.0,,,33.54,96.33,Kendrapara,1,0,0,0,0,1,0.3333333333333333
6.49,73.17,15.38,15.38,5.59,1.79,Kendujhar,0,1,0,0,0,0,0.16666666666666666
83.69,75.0,100.0,100.0,68.32,96.62,Khordha,1,1,1,1,1,1,1.0
28.78,78.57,100.0,100.0,60.83,74.72,Koraput,0,1,1,1,1,1,0.8333333333333334
,,,,,100.0,Malkangiri,0,0,0,0,0,1,0.16666666666666666
11.39,100.0,100.0,100.0,7.27,1.11,Mayurbhanj,0,1,1,1,0,0,0.5
8.33,7.69,16.67,8.33,16.67,47.62,Nabarangpur,0,0,0,0,0,0,0.0
63.49,0.0,100.0,100.0,35.31,51.12,Nayagarh,1,0,1,1,0,1,0.6666666666666666
8.33,0.0,0.0,0.0,0.0,0.0,Nuapada,0,0,0,0,0,0,0.0
76.1,97.45,90.0,90.91,47.68,90.84,Puri,1,1,1,1,0,1,0.8333333333333334
67.11,97.56,92.59,83.95,85.4,72.8,Rayagada,1,1,1,1,1,1,1.0
40.83,87.5,100.0,100.0,16.7,38.44,Sambalpur,0,1,1,1,0,0,0.5
100.0,100.0,100.0,100.0,50.0,100.0,Sonepur,1,1,1,1,1,1,1.0
100.0,100.0,100.0,100.0,0.0,90.91,Sundargarh,1,1,1,1,0,1,0.8333333333333334
86.41,97.99,100.0,98.32,100.0,,Karaikal,1,1,1,1,1,0,0.8333333333333334
89.43,93.67,95.18,98.19,0.99,,Mahe,1,1,1,1,0,0,0.6666666666666666
94.98,84.98,99.16,98.05,0.29,100.0,Pondicherry,1,1,1,1,0,1,0.8333333333333334
74.27,88.91,99.85,45.83,0.0,82.91,Amritsar,1,1,1,0,0,1,0.6666666666666666
90.36,87.6,99.23,60.37,61.6,88.02,Barnala,1,1,1,1,1,1,1.0
88.98,75.44,97.27,62.65,81.82,93.47,Bathinda,1,1,1,1,1,1,1.0
90.06,86.95,98.82,54.94,,95.74,Faridkot,1,1,1,1,0,1,0.8333333333333334
92.56,92.27,99.35,54.64,0.0,88.0,Fatehgarh Sahib,1,1,1,1,0,1,0.8333333333333334
80.79,82.83,99.81,54.0,50.0,96.69,Fazilka,1,1,1,1,1,1,1.0
80.98,89.77,99.78,46.32,100.0,74.74,Firozepur,1,1,1,0,1,1,0.8333333333333334
92.26,89.82,99.4,51.8,100.0,82.77,Gurdaspur,1,1,1,1,1,1,1.0
83.06,90.35,99.55,53.45,0.0,87.12,Hoshiarpur,1,1,1,1,0,1,0.8333333333333334
89.89,91.37,98.97,64.99,3.8,78.65,Jalandhar,1,1,1,1,0,1,0.8333333333333334
88.55,92.5,99.72,33.82,,86.68,Kapurthala,1,1,1,0,0,1,0.6666666666666666
85.4,90.82,99.41,54.28,100.0,76.1,Ludhiana,1,1,1,1,1,1,1.0
91.44,90.46,99.82,72.66,,88.18,Mansa,1,1,1,1,0,1,0.8333333333333334
90.89,94.05,99.98,43.64,,87.4,Moga,1,1,1,0,0,1,0.6666666666666666
79.25,84.43,99.32,32.54,,93.97,Muktsar,1,1,1,0,0,1,0.6666666666666666
88.94,96.73,99.95,76.63,100.0,70.99,Nawanshahr,1,1,1,1,1,1,1.0
95.27,96.75,99.57,70.49,96.1,87.53,Pathankot,1,1,1,1,1,1,1.0
91.25,91.04,99.88,66.96,0.99,83.34,Patiala,1,1,1,1,0,1,0.8333333333333334
93.95,95.7,98.96,54.3,100.0,91.6,Rupnagar,1,1,1,1,1,1,1.0
80.51,82.81,99.39,56.36,,82.71,S.A.S Nagar,1,1,1,1,0,1,0.8333333333333334
90.91,89.5,99.85,60.88,3.29,88.62,Sangrur,1,1,1,1,0,1,0.8333333333333334
85.0,92.3,99.75,46.06,100.0,82.79,Tarn Taran,1,1,1,0,1,1,0.8333333333333334
59.16,65.75,98.01,91.35,0.0,79.15,Ajmer,1,1,1,1,0,1,0.8333333333333334
51.69,43.75,97.71,95.97,,89.65,Alwar,1,0,1,1,0,1,0.6666666666666666
29.26,40.46,87.08,90.44,,98.42,Banswara,0,0,1,1,0,1,0.5
79.39,81.21,99.41,94.36,,44.11,Baran,1,1,1,1,0,0,0.6666666666666666
27.94,25.77,92.8,91.48,,78.67,Barmer,0,0,1,1,0,1,0.5
37.93,78.29,96.47,99.12,,93.84,Bharatpur,0,1,1,1,0,1,0.6666666666666666
60.02,52.08,96.66,86.89,,97.61,Bhilwara,1,1,1,1,0,1,0.8333333333333334
29.09,6.35,67.84,41.62,,30.83,Bikaner,0,0,1,0,0,0,0.16666666666666666
72.42,61.01,99.45,96.02,,96.36,Bundi,1,1,1,1,0,1,0.8333333333333334
60.13,37.47,96.4,79.25,,94.78,Chittorgarh,1,0,1,1,0,1,0.6666666666666666
4.38,0.86,93.82,81.17,,70.73,Churu,0,0,1,1,0,1,0.5
64.41,64.43,92.27,86.21,,99.39,Dausa,1,1,1,1,0,1,0.8333333333333334
50.18,66.87,90.16,95.33,,90.14,Dholpur,1,1,1,1,0,1,0.8333333333333334
49.3,54.91,96.52,78.45,,94.73,Dungarpur,0,1,1,1,0,1,0.6666666666666666
40.02,52.93,95.02,96.2,,59.17,Ganganagar,0,1,1,1,0,1,0.6666666666666666
63.15,52.65,95.3,85.3,,88.41,Hanumangarh,1,1,1,1,0,1,0.8333333333333334
62.67,34.87,90.93,94.12,75.0,96.61,Jaipur,1,0,1,1,1,1,0.8333333333333334
1.01,4.36,97.69,99.76,,0.04,Jaisalmer,0,0,1,1,0,0,0.3333333333333333
41.11,39.04,97.58,91.82,,93.98,Jalore,0,0,1,1,0,1,0.5
72.53,73.24,99.79,97.78,,86.4,Jhalawar,1,1,1,1,0,1,0.8333333333333334
27.73,36.26,94.05,93.76,,86.11,Jhunjhunu,0,0,1,1,0,1,0.5
31.08,25.16,98.69,91.13,,99.23,Jodhpur,0,0,1,1,0,1,0.5
44.43,52.21,93.69,94.43,,76.39,Karauli,0,1,1,1,0,1,0.6666666666666666
81.56,83.86,97.04,90.56,,91.85,Kota,1,1,1,1,0,1,0.8333333333333334
21.85,21.17,97.78,95.14,,66.17,Nagaur,0,0,1,1,0,1,0.5
35.77,32.7,98.15,98.92,,92.68,Pali,0,0,1,1,0,1,0.5
75.46,63.71,91.04,94.14,,95.37,Pratapgarh,1,1,1,1,0,1,0.8333333333333334
41.53,18.03,89.69,89.65,,99.94,Rajsamand,0,0,1,1,0,1,0.5
41.22,67.34,97.75,95.24,,88.64,Sawai Madhopur,0,1,1,1,0,1,0.6666666666666666
60.16,45.93,94.22,90.71,,99.09,Sikar,1,0,1,1,0,1,0.6666666666666666
4.18,1.64,97.26,94.79,,84.67,Sirohi,0,0,1,1,0,1,0.5
66.03,56.71,97.95,93.99,,96.4,Tonk,1,1,1,1,0,1,0.8333333333333334
61.23,78.35,98.44,99.11,0.0,89.49,Udaipur,1,1,1,1,0,1,0.8333333333333334
31.51,98.99,73.09,98.87,29.21,99.19,Gangtok,0,1,1,1,0,1,0.6666666666666666
54.41,3.49,96.17,7.01,26.96,0.17,Gyalshing,1,0,1,0,0,0,0.3333333333333333
73.02,22.22,99.21,3.97,6.35,1.59,Mangan,1,0,1,0,0,0,0.3333333333333333
81.58,98.3,92.9,99.43,62.87,98.02,Namchi,1,1,1,1,1,1,1.0
95.15,75.73,99.55,88.3,86.15,55.34,Ariyalur,1,1,1,1,1,1,1.0
72.71,56.06,98.09,68.17,46.6,50.96,Coimbatore,1,1,1,1,0,1,0.8333333333333334
96.69,99.36,99.87,97.82,12.74,20.96,Cuddalore,1,1,1,1,0,0,0.6666666666666666
88.13,13.49,94.89,90.48,45.38,50.26,Dharmapuri,1,0,1,1,0,1,0.6666666666666666
79.92,49.69,95.2,65.22,19.0,54.36,Dindigul,1,0,1,1,0,1,0.6666666666666666
74.77,45.71,97.72,55.37,18.08,17.35,Erode,1,0,1,1,0,0,0.5
70.66,67.52,99.52,94.93,11.26,98.96,Kanchipuram,1,1,1,1,0,1,0.8333333333333334
80.52,92.82,97.01,87.85,27.63,77.25,Kanniyakumari,1,1,1,1,0,1,0.8333333333333334
87.22,22.25,99.88,81.82,87.28,31.53,Karur,1,0,1,1,1,0,0.6666666666666666
98.43,98.24,99.72,98.89,87.35,96.14,Krishnagiri,1,1,1,1,1,1,1.0
68.45,70.98,97.89,81.01,19.57,79.74,Madurai,1,1,1,1,0,1,0.8333333333333334
70.48,95.76,89.95,62.3,48.31,89.76,Nagapattinam,1,1,1,1,0,1,0.8333333333333334
46.2,49.77,92.6,67.69,5.7,55.22,Namakkal,0,0,1,1,0,1,0.5
42.0,2.51,99.1,69.55,6.54,13.99,Perambalur,0,0,1,1,0,0,0.3333333333333333
58.83,59.57,95.71,96.52,65.88,60.43,Pudukkottai,1,1,1,1,1,1,1.0
28.48,76.54,94.35,90.41,14.38,89.09,Ramanathapuram,0,1,1,1,0,1,0.6666666666666666
81.74,97.86,99.69,94.17,65.56,58.75,Salem,1,1,1,1,1,1,1.0
32.34,72.55,68.22,91.59,33.65,56.24,Sivaganga,0,1,1,1,0,1,0.6666666666666666
98.9,93.0,99.9,86.9,99.74,38.51,Thanjavur,1,1,1,1,1,0,0.8333333333333334
62.4,67.38,90.73,65.23,34.91,44.96,The Nilgiris,1,1,1,1,0,0,0.6666666666666666
33.96,28.28,97.02,49.28,78.35,63.16,Theni,0,0,1,0,1,1,0.5
62.94,59.6,90.96,10.85,48.4,65.17,Thiruvallur,1,1,1,0,0,1,0.6666666666666666
57.87,99.09,99.83,89.15,80.76,96.11,Thiruvarur,1,1,1,1,1,1,1.0
94.56,72.01,99.8,93.39,0.46,99.99,Tiruchirappalli,1,1,1,1,0,1,0.8333333333333334
61.16,86.4,98.38,98.45,58.43,89.4,Tirunelveli,1,1,1,1,1,1,1.0
89.43,74.75,99.51,65.3,80.83,87.95,Tiruppur,1,1,1,1,1,1,1.0
45.72,80.39,96.2,8.97,41.24,68.87,Tiruvannamalai,0,1,1,0,0,1,0.5
47.33,30.78,93.44,87.7,59.3,78.83,Tuticorin,0,0,1,1,1,1,0.6666666666666666
68.68,20.77,96.72,38.38,39.62,68.44,Vellore,1,0,1,0,0,1,0.5
71.24,38.26,99.32,92.89,14.43,43.35,Villupuram,1,0,1,1,0,0,0.5
23.35,32.7,83.04,85.94,56.03,75.5,Virudhunagar,0,0,1,1,1,1,0.6666666666666666
73.33,74.63,82.7,77.48,79.0,80.41,Adilabad,1,1,1,1,1,1,1.0
37.05,24.54,85.53,50.05,74.51,69.24,Bhadradri Kothagudem,0,0,1,1,1,1,0.6666666666666666
33.18,57.13,92.47,83.62,71.28,91.46,Hanumakonda,0,1,1,1,1,1,0.8333333333333334
0.0,0.0,0.0,0.0,0.0,0.0,Hyderabad,0,0,0,0,0,0,0.0
57.04,59.09,89.39,79.27,59.3,64.26,Jagitial,1,1,1,1,1,1,1.0
31.36,41.6,60.85,57.39,43.01,69.07,Jangoan,0,0,1,1,0,1,0.5
21.51,41.63,93.11,89.05,77.77,92.75,Jayashankar Bhupalapally,0,0,1,1,1,1,0.6666666666666666
56.89,40.57,74.89,45.42,74.5,57.41,Jogulamba Gadwal,1,0,1,0,1,1,0.6666666666666666
58.81,48.48,87.65,63.11,82.58,71.75,Kamareddy,1,0,1,1,1,1,0.8333333333333334
72.96,53.0,96.75,79.88,70.97,69.32,Karimnagar,1,1,1,1,1,1,1.0
37.79,24.67,82.2,57.16,72.34,83.16,Khammam,0,0,1,1,1,1,0.6666666666666666
73.21,79.11,97.03,91.66,85.19,93.95,Kumuram Bheem Asifabad,1,1,1,1,1,1,1.0
44.39,51.95,89.63,85.13,81.47,89.07,Mahabubabad,0,1,1,1,1,1,0.8333333333333334
73.95,63.37,94.86,83.08,82.65,85.89,Mahbubnagar,1,1,1,1,1,1,1.0
56.0,76.72,92.31,94.19,79.92,86.97,Mancherial,1,1,1,1,1,1,1.0
45.0,71.49,93.72,97.56,97.6,98.65,Medak,0,1,1,1,1,1,0.8333333333333334
63.64,26.75,91.6,52.0,96.87,74.36,Medchal Malkajgiri,1,0,1,1,1,1,0.8333333333333334
27.53,49.94,92.8,88.76,74.1,96.45,Mulugu,0,0,1,1,1,1,0.6666666666666666
70.66,59.57,81.64,69.89,72.84,83.13,Nagarkurnool,1,1,1,1,1,1,1.0
70.91,60.17,97.09,81.04,67.61,84.4,Nalgonda,1,1,1,1,1,1,1.0
76.15,68.56,92.91,82.95,82.77,88.94,Narayanapet,1,1,1,1,1,1,1.0
78.46,73.8,94.22,84.26,86.39,87.6,Nirmal,1,1,1,1,1,1,1.0
64.49,52.31,95.62,65.61,89.71,75.14,Nizamabad,1,1,1,1,1,1,1.0
70.6,57.93,97.36,81.41,77.74,70.69,Peddapalli,1,1,1,1,1,1,1.0
74.41,66.91,94.52,89.92,74.89,83.66,Rajanna Sircilla,1,1,1,1,1,1,1.0
77.02,49.29,88.12,73.72,76.72,57.05,Rangareddi,1,0,1,1,1,1,0.8333333333333334
81.6,75.51,99.11,91.85,95.92,95.7,Sangareddy,1,1,1,1,1,1,1.0
43.12,57.85,95.88,88.17,85.84,89.99,Siddipet,0,1,1,1,1,1,0.8333333333333334
75.69,55.17,97.6,80.97,75.88,88.43,Suryapet,1,1,1,1,1,1,1.0
53.83,54.61,84.07,77.06,80.46,78.02,Vikarabad,1,1,1,1,1,1,1.0
49.11,52.91,86.53,91.13,63.46,64.37,Wanaparthy,0,1,1,1,1,1,0.8333333333333334
